"health","romantic","ClasseHealth"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"5","yes","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","no","Muito bom"
"5","yes","Muito bom"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","yes","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"1","yes","Muito ruim"
"1","no","Muito ruim"
"1","no","Muito ruim"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","yes","Regular"
"3","no","Regular"
"3","no","Regular"
"3","no","Regular"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","no","Ruim"
"2","yes","Ruim"
"2","yes","Ruim"
