"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","M","16","U","GT3","T","3","4","other","other","course","father","3","1","2","no","yes","no","yes","no","yes","yes","no","3","4","5","2","4","2","0","6","5","0"
"GP","F","16","U","GT3","T","1","3","at_home","services","home","mother","1","2","3","no","no","no","yes","no","yes","yes","yes","4","3","5","1","1","3","0","8","7","0"
"GP","M","17","U","GT3","T","3","3","other","other","reputation","father","1","2","0","no","no","no","yes","no","yes","yes","no","4","3","4","1","4","4","4","6","5","6"
"GP","F","17","R","GT3","T","2","2","other","other","reputation","mother","1","1","0","no","yes","no","no","yes","yes","yes","no","5","3","2","1","2","3","18","7","6","6"
"GP","F","17","U","GT3","T","4","3","other","other","reputation","mother","1","2","2","no","no","yes","no","yes","yes","yes","yes","3","4","5","2","4","1","22","6","6","4"
"GP","F","17","R","GT3","T","2","1","at_home","services","reputation","mother","2","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","5","1","2","5","2","6","6","6"
"GP","F","17","U","GT3","T","1","1","at_home","other","reputation","mother","1","3","1","no","yes","no","yes","yes","yes","no","yes","4","3","4","1","1","5","0","6","5","0"
"GP","M","16","U","LE3","T","1","1","other","other","home","mother","2","2","0","no","yes","yes","no","yes","yes","yes","no","3","4","2","1","1","5","18","9","7","6"
"GP","M","18","U","GT3","T","2","2","other","services","reputation","father","1","2","1","no","no","no","no","yes","no","yes","no","5","5","4","3","5","2","0","7","7","0"
"GP","M","16","U","LE3","T","4","3","teacher","other","course","mother","1","1","0","no","no","no","yes","no","yes","yes","no","5","4","5","1","1","3","0","6","0","0"
"GP","F","18","U","GT3","T","2","1","other","other","course","other","2","3","0","no","yes","yes","no","no","yes","yes","yes","4","4","4","1","1","3","0","7","0","0"
"GP","M","18","R","LE3","T","3","3","other","services","course","mother","1","2","1","no","yes","no","no","yes","yes","yes","yes","4","3","3","1","3","5","8","3","5","5"
"GP","F","17","U","LE3","T","2","2","services","services","course","father","1","4","0","no","no","yes","yes","yes","yes","yes","yes","3","4","1","1","1","2","0","10","9","0"
"GP","F","18","U","GT3","T","2","2","at_home","services","home","mother","1","3","0","no","yes","yes","yes","yes","yes","yes","yes","4","3","3","1","1","3","0","9","10","0"
"GP","F","18","R","GT3","T","2","1","other","other","reputation","mother","2","2","0","no","yes","no","no","yes","no","yes","yes","4","3","5","1","2","3","0","6","0","0"
"GP","F","19","U","GT3","T","4","4","health","other","reputation","other","2","2","0","no","yes","yes","yes","yes","yes","yes","no","2","3","4","2","3","2","0","10","9","0"
"GP","F","19","U","LE3","T","1","2","services","services","home","other","1","2","1","no","no","no","yes","no","yes","no","yes","4","2","4","2","2","3","0","9","9","0"
"GP","F","18","U","GT3","T","2","1","services","other","course","mother","2","2","0","no","yes","yes","yes","yes","yes","yes","no","5","3","3","1","2","1","0","8","8","0"
"GP","F","18","U","GT3","T","3","3","services","services","home","mother","1","2","0","no","no","no","yes","yes","yes","yes","no","5","3","4","1","1","4","0","7","0","0"
"GP","F","18","U","LE3","T","2","2","other","other","home","other","1","2","0","no","no","no","yes","no","yes","yes","yes","4","3","3","1","1","2","0","8","8","0"
"GP","F","18","R","GT3","T","2","2","at_home","other","course","mother","2","4","0","no","no","no","yes","yes","yes","no","no","4","4","4","1","1","4","0","10","9","0"
"GP","F","17","U","GT3","T","3","2","other","other","home","mother","1","2","0","no","yes","yes","no","yes","yes","yes","yes","4","3","2","2","3","2","0","7","8","0"
"GP","M","18","U","GT3","T","4","4","teacher","services","home","father","1","2","1","no","yes","no","yes","yes","yes","yes","no","4","3","3","2","2","2","0","10","10","0"
"GP","F","17","U","GT3","A","2","2","at_home","at_home","home","father","1","2","1","no","yes","no","no","yes","yes","yes","yes","3","3","1","1","2","4","0","9","8","0"
"MS","F","17","R","GT3","T","1","1","other","services","reputation","mother","3","1","1","no","yes","yes","no","yes","yes","yes","yes","5","2","1","1","2","1","0","7","6","0"
"MS","F","17","R","GT3","T","1","2","other","other","course","mother","1","1","0","no","no","no","yes","yes","yes","yes","no","3","5","5","1","3","1","14","6","5","5"
"MS","M","19","R","GT3","T","1","1","other","services","other","mother","2","1","1","no","no","no","no","yes","yes","no","no","4","3","2","1","3","5","0","6","5","0"
"MS","M","18","R","GT3","T","4","2","other","other","home","father","2","1","1","no","no","yes","no","yes","yes","no","no","5","4","3","4","3","3","14","6","5","5"
"MS","F","18","R","GT3","T","4","4","teacher","at_home","reputation","mother","3","1","0","no","yes","yes","yes","yes","yes","yes","yes","4","4","3","2","2","5","7","6","5","6"
"MS","F","19","R","GT3","T","2","3","services","other","course","mother","1","3","1","no","no","no","yes","no","yes","yes","no","5","4","2","1","2","5","0","7","5","0"
"MS","F","18","U","GT3","T","1","1","other","other","course","mother","2","2","1","no","no","no","yes","yes","yes","no","no","1","1","1","1","1","5","0","6","5","0"
