"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","F","17","U","LE3","T","0","2","at_home","at_home","home","father","2","3","0","no","no","no","no","yes","yes","yes","no","3","3","3","2","3","2","0","16","15","15"
"GP","F","18","U","LE3","T","2","2","other","other","home","other","1","2","0","no","no","no","yes","no","yes","yes","yes","4","3","3","1","1","2","0","8","8","0"
"GP","F","17","U","GT3","T","3","2","other","other","home","mother","1","2","0","no","yes","yes","no","yes","yes","yes","yes","4","3","2","2","3","2","0","7","8","0"
"GP","F","17","R","GT3","A","3","2","other","other","home","mother","1","2","0","no","yes","yes","no","yes","yes","yes","no","4","3","3","2","3","2","4","9","10","10"
"GP","M","18","U","GT3","T","4","4","teacher","services","home","father","1","2","1","no","yes","no","yes","yes","yes","yes","no","4","3","3","2","2","2","0","10","10","0"
"MS","M","19","R","GT3","T","1","1","other","services","home","other","3","2","3","no","no","no","no","yes","yes","yes","no","5","4","4","3","3","2","8","8","7","8"
"MS","M","17","R","GT3","T","4","3","services","other","home","mother","2","2","0","no","yes","yes","yes","no","yes","yes","yes","4","5","5","1","3","2","4","13","11","11"
"MS","F","18","R","LE3","T","4","4","teacher","services","course","mother","1","2","0","no","no","yes","yes","yes","yes","yes","no","5","4","3","3","4","2","4","8","9","10"
"MS","M","18","U","GT3","T","4","4","teacher","teacher","home","father","1","2","0","no","no","yes","yes","no","yes","yes","no","3","2","4","1","4","2","4","15","14","14"
"MS","M","17","U","LE3","T","3","1","services","services","course","mother","2","1","0","no","no","no","no","no","yes","yes","no","2","4","5","3","4","2","3","14","16","16"
