"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","g1","g2","g3"
"GP","M","17","R","LE3","T","1","1","other","services","course","mother","4","2","3","no","no","no","yes","yes","no","no","yes","5","3","5","1","5","5","0","5","8","7"
"GP","M","16","U","GT3","T","2","2","other","other","course","father","1","2","0","no","no","no","no","yes","no","yes","no","4","3","5","2","4","4","4","10","10","10"
"GP","M","17","U","LE3","T","4","3","teacher","other","course","mother","2","2","0","no","no","yes","yes","yes","yes","yes","no","4","4","4","4","4","4","4","10","9","9"
"GP","F","16","U","GT3","T","2","2","services","other","reputation","mother","2","2","0","no","no","yes","yes","no","yes","yes","no","3","4","4","1","4","5","2","13","13","11"
"GP","M","17","U","GT3","T","3","3","other","other","reputation","father","1","2","0","no","no","no","yes","no","yes","yes","no","4","3","4","1","4","4","4","6","5","6"
"GP","M","17","R","GT3","T","1","2","at_home","other","home","mother","1","2","0","no","no","no","no","yes","yes","no","no","3","1","3","1","5","3","4","8","9","10"
"GP","M","17","U","GT3","T","1","2","at_home","services","other","other","2","2","0","no","no","yes","yes","no","yes","yes","no","4","4","4","4","5","5","12","7","8","8"
"GP","F","17","U","GT3","T","4","3","other","other","reputation","mother","1","2","2","no","no","yes","no","yes","yes","yes","yes","3","4","5","2","4","1","22","6","6","4"
"GP","M","17","U","LE3","T","2","2","other","other","home","father","1","2","0","no","no","yes","yes","no","yes","yes","yes","4","4","2","5","5","4","4","14","13","13"
"GP","M","18","U","GT3","T","2","2","other","services","reputation","father","1","2","1","no","no","no","no","yes","no","yes","no","5","5","4","3","5","2","0","7","7","0"
"GP","M","17","U","LE3","T","4","3","health","other","course","mother","2","2","0","no","no","no","yes","yes","yes","yes","yes","2","5","5","1","4","5","14","12","12","12"
"GP","M","22","U","GT3","T","3","1","services","services","other","mother","1","1","3","no","no","no","no","no","no","yes","yes","5","4","5","5","5","1","16","6","8","8"
"GP","M","16","U","GT3","T","0","2","other","other","other","mother","1","1","0","no","no","yes","no","no","yes","yes","no","4","3","2","2","4","5","0","13","15","15"
"GP","M","18","U","GT3","T","3","2","services","other","course","mother","2","1","1","no","no","no","no","yes","no","yes","no","4","4","5","2","4","5","0","6","8","8"
"GP","M","18","U","GT3","T","2","1","services","services","other","mother","1","1","1","no","no","no","no","no","no","yes","no","3","2","5","2","5","5","4","6","9","8"
"GP","M","17","R","GT3","T","2","1","other","other","course","mother","1","1","0","no","no","no","no","no","yes","yes","no","4","4","2","2","4","5","0","8","12","12"
"GP","M","17","U","GT3","T","3","1","services","other","other","mother","1","2","0","no","no","yes","yes","yes","yes","yes","yes","5","4","4","3","4","5","2","9","9","10"
"GP","M","18","U","GT3","T","4","4","teacher","services","home","mother","2","1","0","no","no","yes","yes","yes","yes","yes","no","3","2","4","1","4","3","22","9","9","9"
"GP","M","17","U","LE3","A","4","1","services","other","home","mother","2","1","0","no","no","yes","yes","yes","yes","yes","yes","4","5","4","2","4","5","30","8","8","8"
"GP","M","17","U","LE3","A","3","2","teacher","services","home","mother","1","1","1","no","no","no","no","yes","yes","yes","no","4","4","4","3","4","3","19","11","9","10"
"GP","M","17","U","GT3","T","3","3","other","services","reputation","mother","1","1","0","no","no","no","yes","no","yes","yes","no","4","3","5","3","5","5","3","14","15","16"
"MS","F","18","R","LE3","A","1","4","at_home","other","course","mother","3","2","0","no","no","no","no","yes","yes","no","yes","4","3","4","1","4","5","0","13","13","13"
"MS","F","18","R","LE3","T","4","4","teacher","services","course","mother","1","2","0","no","no","yes","yes","yes","yes","yes","no","5","4","3","3","4","2","4","8","9","10"
"MS","M","18","U","GT3","T","4","4","teacher","teacher","home","father","1","2","0","no","no","yes","yes","no","yes","yes","no","3","2","4","1","4","2","4","15","14","14"
"MS","M","17","U","LE3","T","3","1","services","services","course","mother","2","1","0","no","no","no","no","no","yes","yes","no","2","4","5","3","4","2","3","14","16","16"
"MS","M","18","R","LE3","T","3","2","services","other","course","mother","3","1","0","no","no","no","no","no","yes","yes","no","4","4","1","3","4","5","0","11","12","10"
